android_sensor_gyroscope_mean,android_sensor_accelerometer_std,android_sensor_gyroscope_std,android_sensor_gyroscope_uncalibrated_mean,android_sensor_accelerometer_max,android_sensor_linear_acceleration_mean,android_sensor_rotation_vector_mean,android_sensor_rotation_vector_max,android_sensor_accelerometer_min,android_sensor_magnetic_field_uncalibrated_min,sound_min,target,user
0.183202097809,0.504117059576,0.0988191384778,0.265652184888,10.8916451194,1.65830750209,0.322241915004,0.378193174062,8.96562096134,156.79590908,89.770732316,2,andrea
0.0533659932669,0.10385656289,0.028407765068,0.0608950914993,9.52004390746,0.471369557719,0.880361441911,0.904735595571,9.14902923812,134.1981302005,57.3611272365,2,Federica
0.00409986525381,0.0134885934094,0.00180112306541,0.0429908440802,9.8161968759,0.027440833538,0.201198417294,0.201317697493,9.7587507121,170.521376959,65.1583690063,3,michelangelo
0.0415540643649,0.255052884981,0.0300742373795,0.06575401641,10.0278019439,0.2789968597,0.780795203731,0.786845052675,8.99613405513,134.611517396,89.8084408315,3,andrea
0.0374507823437,0.267790551832,0.0213908240187,0.0304911474402,10.0685281258,0.255171829308,0.968082050052,0.96880641366,9.0147864831,140.174223103,89.8157384837,3,andrea
0.131283456879,0.114261228016,0.00333078345825,0.0671507338295,10.3433459018,0.0717473330069,0.999972632859,0.999997205748,9.55466288207,236.932685918,70.5706212127,0,Damiano
0.0225253837911,0.317446077076,0.0131136008672,0.0449085803462,10.0133646334,0.411267162931,0.989397875246,0.990213199365,8.90104806048,138.888984937,89.7921393254,3,andrea
0.296977564711,2.5084267287,0.231980726229,0.334016276273,13.7248098125,0.398539539639,0.5784314442,0.5784314442,3.75871187487,105.677528359,85.0313044729,2,Claudio
0.0178786481787,0.14597159067,0.0122156273546,0.0335059199659,10.2042315535,0.534977245566,0.329745121496,0.372181426726,9.6081022713,156.751921618,89.7084655786,2,andrea
0.0293348051465,0.389263437107,0.00170901635461,0.102843297578,11.3644736774,1.36007825006,0.964534722062,0.964534722062,8.52210623851,164.169982878,78.50624183,3,michelangelo
